# epoch_start_s=1774192582
7.396,0.9935937,-4.2640732,9.01417,-0.013323124,-0.42753904,0.027179174,12416,25345,1023
7.511,1.3790602,-4.3622356,9.148245,-0.100189896,-0.2807182,0.008793262,13952,25345,-1
7.628,1.6711528,-4.0677484,8.655039,-0.26899384,-0.371981632,0.058888208,15744,25089,-513
7.745,1.1085154,-4.3167456,8.492233,0.015987748,-0.23888362,-0.061552832,17280,25857,-1281
7.861,0.842759,-3.3446998,8.525752,0.175598768,-0.20664166,-0.09872434,18816,22529,-769
7.976,1.4221558,-2.4971524,8.868123,0.502415,-0.06954671,-0.122572732,21632,17921,3071
8.095,1.1971009,-1.86508308,8.420407,0.5231991,0.13509648,0.007993874,22144,8449,10751
8.212,1.970428,-1.4676456,9.959879,0.4107519,0.18732312,0.058488516,19584,1025,17919
8.327,1.0989386,-0.4285621,10.005369,0.41674732,0.3334778,0.25393876,16512,-6655,22782
8.443,0.61291564,0.04070143,10.007763,0.3032343,0.33747472,0.11497856,12672,-14335,30462
8.559,-0.34715924,0.6895301,9.809045,0.41341652,0.20824042,0.131366,8576,-23039,-31234
8.673,-0.217872352,1.2114661,9.672575,0.22769218,0.21823276,-0.0018652374,4992,32513,-26114
8.791,-0.6464345,1.85071792,9.435549,0.2069081,0.18439204,-0.055290964,1408,24065,-22530
8.907,0.062249244,2.3678656,9.277532,0.058488516,0.30430012,0.02797856,-2688,16384,-20226
9.023,-0.6991069,3.0238766,9.545682,0.124837672,0.421543636,0.21929862,-6528,12032,-20482
9.141,-1.3838486,2.896984,9.074024,0.25220674,0.35719296,0.10152221,-12160,5120,-18946
9.257,-1.84832368,3.1004912,9.045294,0.14828637,0.429937184,-0.054091884,-16000,-768,-20227
9.379,-1.673547,3.9743748,8.9998048,-0.035039816,0.328415,-0.0369050536,-22144,-5888,-22019
9.495,-3.6607344,3.6750996,8.628703,-0.204110252,0.42287596,-0.1424242,-28032,-9984,-22787
9.612,-3.3662476,3.82354016,8.781932,-0.27485606,0.39982696,-0.1334977,32128,-10496,-24323
9.729,-3.89536616,3.9097314,8.580819,-0.33201228,0.39676264,-0.057822358,26496,-11264,-26371
9.850,-3.62482136,3.75410832,8.1642268,-0.22382848,0.38423888,-0.05382542,21888,-9984,-28419
9.968,-4.76925,4.0533832,8.111555,-0.2063752,0.37637828,-0.03424043,18304,-10752,-30723
10.081,-4.7165776,4.501099,8.250419,-0.14415619,0.245944868,0.049295556,15744,-11264,-31747
10.199,-5.2026004,4.110844,7.7189064,-0.14722052,0.224894332,0.09486064,13952,-12800,32509
10.315,-5.829881,3.53623584,8.025364,-0.1825268,0.14162481,-0.038770292,13440,-12288,31997
10.431,-5.1810528,3.36385336,7.5441292,-0.3164242,0.008660031,0.13016692,12928,-11264,31741
10.548,-4.450821,2.777274,8.008605,-0.65536448,-0.199180684,0.06794793,13696,-6656,31485
10.663,-4.6782704,2.327164,8.774749,-0.64044256,-0.14908576,0.059421132,16000,1792,31742
10.815,-2.3175872,2.1523874,9.876082,-1.166706,-0.4094196,-0.16227564,22400,13312,32766
10.930,-2.834735,1.5729905,10.9343192,-0.98497852,-0.340272568,-0.22769218,28032,24320,32254
11.054,-2.1739352,0.61770404,10.912771,-0.676415,-0.47310416,-0.3156248,31872,-32768,30974
11.169,-2.9951462,-0.30885202,10.304645,-0.91036904,-0.24940888,-0.1267029,-30336,-24576,27390
11.286,-2.9161376,-1.4652514,9.964667,-0.8223032,-0.16494027,-0.050094948,-27264,-14336,23038
11.402,-2.5330652,-2.0087352,10.0748008,-0.83669216,-0.26433076,-0.18146096,-23936,-5632,18174
11.520,-2.1499932,-2.7964276,8.834604,-0.43873048,-0.09925727,-0.16160948,-20608,2048,14591
11.635,-1.4389152,-3.2680852,9.437943,-0.41847932,-0.30856356,-0.26766154,-17792,5888,12543
11.751,-1.1372458,-3.4141316,9.449914,-0.5976753,-0.114578868,-0.03250842,-13696,9984,12287
