# epoch_start_s=1774903441
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
12.790,-1.5562312,0.5410896,9.959879,-0.07674119,-0.07700766,0.055157732,-26496,-14079,27644
12.903,-1.2880806,0.58897364,9.847352,-0.043699844,-0.055024504,0.039169984,-31104,-12287,22780
13.025,-1.1779473,0.7278373,9.703699,-0.06022052,-0.08340275,0.017986218,30080,-10751,18172
13.139,-1.1779473,0.81402856,9.933543,-0.13896018,-0.1309663,0.032108728,25472,-9215,15100
13.255,-1.1971009,0.842759,9.753978,-0.12164012,-0.10058958,0.022116386,20352,-6911,13308
13.370,-1.30484,0.91458504,9.682152,-0.175332308,-0.08380245,-0.0026646248,17536,-5631,12284
13.485,-1.2761094,0.9768343,9.988609,-0.19052068,-0.05595712,0.02251608,16000,-5119,12540
13.599,-1.2138603,1.079785,9.828198,-0.13456355,-0.10498622,0.02025115,13696,-5375,10748
13.720,-1.0821792,1.0031705,9.931149,-0.17919602,-0.08513476,0.0062618684,12160,-4351,11260
13.835,-1.1180922,1.1731589,10.014946,-0.1267029,-0.1079173,0.045831548,11392,-3583,10492
13.951,-0.7781156,1.1013328,9.825804,-0.13536294,-0.09672587,0.06648239,8576,-3071,10492
14.065,-0.6703765,1.0582372,9.861717,-0.14322358,-0.12417152,0.040102604,9088,-4095,9212
14.180,-0.7134721,1.0414777,10.223241,-0.19624962,-0.070346092,0.007194487,7808,-3327,8444
14.301,-0.533907,1.0749966,9.952697,-0.14988515,-0.10072281,0.014788668,6528,-3071,7676
14.416,-0.7158663,1.1875241,9.923966,-0.18332618,-0.08819909,0.053026036,6272,-3327,7164
14.531,-0.5363012,1.1468226,9.619903,-0.211970916,-0.1185758,-0.0026646248,4992,-3071,6908
14.649,-0.61052144,1.1420342,9.811439,-0.249675344,-0.08433538,0.00359724336,4224,-2815,6908
14.767,-0.2777274,0.91219084,10.103531,-0.26886064,-0.105385912,0.0021316998,2688,-2303,7420
14.884,-0.47884036,1.0366893,9.950302,-0.22422818,-0.1061853,0.0014655436,1664,-1791,6396
15.005,-0.47405192,0.9648633,9.967062,-0.20584226,-0.09885758,0.010392036,896,-2815,6908
15.120,-0.24420858,0.8475474,9.878476,-0.33334458,-0.10765084,0.00013323124,-128,-2560,7164
15.235,-0.15083471,0.7541735,10.000581,-0.31029556,-0.10445329,0.0037304748,-128,-2304,7932
15.352,-0.04309563,0.60812724,10.323798,-0.28711334,-0.14322358,-0.010125575,-896,-1024,8956
15.469,-0.1412579,0.581791,10.120291,-0.2635314,-0.14988515,0.012790199,-1664,-256,10492
15.583,-0.21068976,0.46686932,10.218452,-0.25473812,-0.13296478,0.057289432,-1408,768,10493
15.704,0.179565132,0.363918668,9.682152,-0.25953444,-0.08167075,0.038637056,-2432,1280,10749
